Track_ID | 등번호 | 유니폼 | 첫등장프레임
2336 | 23 | HOME | frame_0713
2376 | 2 | HOME | frame_0719
2417 | 2 | HOME | frame_0724
2482 | 14 | HOME | frame_0735
2483 | 2 | AWAY | frame_0735
2484 | 9 | AWAY | frame_0735
2504 | 23 | AWAY | frame_0737
2505 | 1 | AWAY | frame_0737
2510 | 14 | HOME | frame_0738
2551 | 9 | AWAY | frame_0743
2555 | 1 | AWAY | frame_0743
2573 | 16 | AWAY | frame_0746
2580 | 14 | HOME | frame_0748
2604 | 9 | AWAY | frame_0752
2625 | 2 | HOME | frame_0755
2628 | 2 | HOME | frame_0755
2632 | 8 | HOME | frame_0756
2640 | 3 | AWAY | frame_0757
2641 | 9 | AWAY | frame_0757
2675 | 39 | AWAY | frame_0762
2676 | 9 | HOME | frame_0762
2719 | 23 | AWAY | frame_0768
2760 | 9 | HOME | frame_0773
2772 | 08 | HOME | frame_0775
2777 | 8 | HOME | frame_0775
2833 | 24 | AWAY | frame_0783
2844 | 14 | HOME | frame_0784
2851 | 8 | HOME | frame_0784
2859 | 9 | AWAY | frame_0786
2861 | 9 | HOME | frame_0786
2869 | 7 | AWAY | frame_0787
2871 | 7 | HOME | frame_0788
2872 | 2 | HOME | frame_0788
2897 | 08 | HOME | frame_0793
2948 | 3 | AWAY | frame_0799
2953 | 5 | HOME | frame_0799
2975 | 3 | HOME | frame_0801
2979 | 88 | HOME | frame_0802
3014 | 23 | AWAY | frame_0809
3045 | 9 | HOME | frame_0819
3075 | 25 | HOME | frame_0824
3119 | 4 | AWAY | frame_0829
3121 | 29 | AWAY | frame_0829
3151 | 16 | HOME | frame_0834
3179 | 4 | HOME | frame_0842
3211 | 5 | HOME | frame_0847
3212 | 1 | AWAY | frame_0847
3221 | 24 | AWAY | frame_0847
3223 | 7 | HOME | frame_0848
3232 | 68 | AWAY | frame_0849
3234 | 62 | HOME | frame_0849
3277 | 7 | AWAY | frame_0855
3279 | 23 | AWAY | frame_0855
3295 | 9 | HOME | frame_0858
3335 | 7 | AWAY | frame_0863
3376 | 2 | AWAY | frame_0868
3406 | 12 | AWAY | frame_0873
3482 | 11 | AWAY | frame_0884
3497 | 9 | HOME | frame_0886
3564 | 1 | AWAY | frame_0893
3603 | 9 | AWAY | frame_0898
3644 | 16 | HOME | frame_0904
3646 | 60 | AWAY | frame_0904
3649 | 14 | HOME | frame_0906
3653 | 7 | AWAY | frame_0907
3691 | 4 | AWAY | frame_0914
3697 | 8 | AWAY | frame_0914
3728 | 5 | AWAY | frame_0921
3748 | 4 | HOME | frame_0924
3757 | 6 | HOME | frame_0925
3801 | 7 | HOME | frame_0932
3818 | 25 | AWAY | frame_0935
3819 | 17 | HOME | frame_0935
3829 | 4 | HOME | frame_0937
3880 | 4 | AWAY | frame_0953
3897 | 1 | HOME | frame_0959
3909 | 06 | AWAY | frame_0962
3937 | 37 | HOME | frame_0966
